Sr.No,Ticket Ref ID,Category,Sub Category,Description,Created Date,Updated Date,Status,Remark
35,TKT-000035,Billing,Pricing Query,Unable to access pricing query features properly,2024-04-10 00:00:00,2024-05-31 00:00:00,Processing,Awaiting customer response
36,TKT-000036,Bug Report,Functional Bug,System error related to functional bug component,2025-05-12 00:00:00,2025-07-12 00:00:00,Raised,Closed as per customer request
37,TKT-000037,Technical Support,Software,System error related to software component,2024-01-03 00:00:00,2025-02-05 00:00:00,Resolved,Duplicate ticket
38,TKT-000038,Feature Request,API,Unable to access api features properly,2025-05-13 00:00:00,2025-06-01 00:00:00,Raised,Pending review
39,TKT-000039,Bug Report,UI Bug,Unable to access ui bug features properly,2025-07-09 00:00:00,2025-07-16 00:00:00,Resolved,In progress
40,TKT-000040,Technical Support,Configuration,Unable to access configuration features properly,2025-06-27 00:00:00,2025-07-17 00:00:00,Processing,Invalid request
41,TKT-000041,Billing,Payment Failed,Issue with payment failed requiring immediate attention,2025-09-01 00:00:00,2025-09-02 00:00:00,Raised,Closed as per customer request
42,TKT-000042,Billing,Payment Failed,Unable to access payment failed features properly,2025-08-31 00:00:00,2025-08-31 00:00:00,Processing,Closed as per customer request
43,TKT-000043,Integration,Data Sync,Request for data sync support and guidance,2024-07-28 00:00:00,2025-07-05 00:00:00,Resolved,Resolved successfully
44,TKT-000044,Feature Request,API,Customer reported problem with api functionality,2024-11-03 00:00:00,2025-06-25 00:00:00,Resolved,Awaiting customer response
45,TKT-000045,Technical Support,Configuration,Unable to access configuration features properly,2025-07-30 00:00:00,2025-08-05 00:00:00,Processing,Invalid request
46,TKT-000046,Bug Report,Performance Bug,Customer reported problem with performance bug functionality,2024-12-23 00:00:00,2025-01-27 00:00:00,Raised,Additional information required
47,TKT-000047,Feature Request,Enhancement,System error related to enhancement component,2025-07-10 00:00:00,2025-08-17 00:00:00,Processing,Invalid request
48,TKT-000048,Feature Request,New Feature,Customer reported problem with new feature functionality,2024-09-27 00:00:00,2024-11-25 00:00:00,Processing,Invalid request
49,TKT-000049,General Inquiry,Documentation,Request for documentation support and guidance,2025-09-11 00:00:00,2025-09-11 00:00:00,Resolved,Resolved successfully
50,TKT-000050,Feature Request,API,Request for api support and guidance,2024-02-22 00:00:00,2024-05-26 00:00:00,Rejected,Pending review
51,TKT-000051,Technical Support,Hardware,Request for hardware support and guidance,2024-05-13 00:00:00,2025-04-04 00:00:00,Resolved,Escalated to technical team
52,TKT-000052,Security,Compliance,Unable to access compliance features properly,2024-01-10 00:00:00,2024-05-03 00:00:00,Processing,Escalated to technical team
53,TKT-000053,Performance,Slow Response,Request for slow response support and guidance,2025-08-19 00:00:00,2025-09-05 00:00:00,Raised,Closed as per customer request
54,TKT-000054,General Inquiry,Product Info,Request for product info support and guidance,2025-01-08 00:00:00,2025-08-26 00:00:00,Processing,Additional information required
55,TKT-000055,Bug Report,Functional Bug,Issue with functional bug requiring immediate attention,2024-12-28 00:00:00,2025-07-24 00:00:00,Raised,Resolved successfully
56,TKT-000056,General Inquiry,Service Query,System error related to service query component,2024-01-26 00:00:00,2024-07-27 00:00:00,Resolved,Closed as per customer request
57,TKT-000057,Bug Report,Performance Bug,Customer reported problem with performance bug functionality,2024-04-20 00:00:00,2024-11-01 00:00:00,Processing,Duplicate ticket
58,TKT-000058,Bug Report,Functional Bug,System error related to functional bug component,2024-12-24 00:00:00,2025-05-29 00:00:00,Raised,Resolved successfully
59,TKT-000059,Technical Support,Software,System error related to software component,2024-12-02 00:00:00,2025-04-23 00:00:00,Processing,Pending review
60,TKT-000060,Account Issue,Access Rights,Unable to access access rights features properly,2024-12-05 00:00:00,2024-12-19 00:00:00,Processing,Pending review
61,TKT-000061,General Inquiry,Documentation,Issue with documentation requiring immediate attention,2024-04-21 00:00:00,2025-02-20 00:00:00,Rejected,Additional information required
62,TKT-000062,Account Issue,Access Rights,Unable to access access rights features properly,2025-06-07 00:00:00,2025-06-21 00:00:00,Rejected,Resolved successfully
63,TKT-000063,Feature Request,New Feature,System error related to new feature component,2024-01-02 00:00:00,2025-06-17 00:00:00,Raised,Additional information required
64,TKT-000064,Payment Issue,Card Declined,Request for card declined support and guidance,2024-11-17 00:00:00,2025-01-19 00:00:00,Resolved,Invalid request
65,TKT-000065,Feature Request,API,Request for api support and guidance,2025-02-16 00:00:00,2025-08-13 00:00:00,Resolved,Invalid request
66,TKT-000066,General Inquiry,Service Query,System error related to service query component,2025-01-23 00:00:00,2025-07-15 00:00:00,Raised,Pending review
67,TKT-000067,Payment Issue,Card Declined,Request for card declined support and guidance,2024-10-20 00:00:00,2025-02-04 00:00:00,Rejected,Additional information required
68,TKT-000068,Security,Compliance,System error related to compliance component,2024-08-06 00:00:00,2025-04-24 00:00:00,Rejected,Escalated to technical team
69,TKT-000069,Billing,Refund Request,Unable to access refund request features properly,2024-12-09 00:00:00,2025-01-25 00:00:00,Raised,Pending review
70,TKT-000070,Bug Report,Functional Bug,Customer reported problem with functional bug functionality,2024-01-26 00:00:00,2024-03-13 00:00:00,Raised,Duplicate ticket
71,TKT-000071,Integration,API Error,System error related to api error component,2025-02-28 00:00:00,2025-08-08 00:00:00,Raised,Closed as per customer request
72,TKT-000072,Security,Compliance,Customer reported problem with compliance functionality,2024-05-31 00:00:00,2025-05-01 00:00:00,Processing,Awaiting customer response
73,TKT-000073,Payment Issue,Transaction Failed,Customer reported problem with transaction failed functionality,2025-06-14 00:00:00,2025-08-12 00:00:00,Processing,Invalid request
74,TKT-000074,Bug Report,UI Bug,System error related to ui bug component,2024-05-16 00:00:00,2025-06-30 00:00:00,Rejected,Invalid request
75,TKT-000075,Performance,High CPU,System error related to high cpu component,2025-05-31 00:00:00,2025-07-24 00:00:00,Rejected,Escalated to technical team
76,TKT-000076,Security,Compliance,Request for compliance support and guidance,2024-09-10 00:00:00,2025-08-02 00:00:00,Resolved,Invalid request
77,TKT-000077,Security,Data Breach,Request for data breach support and guidance,2025-03-26 00:00:00,2025-04-14 00:00:00,Resolved,Resolved successfully
78,TKT-000078,Feature Request,Integration,Request for integration support and guidance,2025-07-07 00:00:00,2025-07-17 00:00:00,Raised,Escalated to technical team
79,TKT-000079,Bug Report,Security Bug,Customer reported problem with security bug functionality,2024-08-07 00:00:00,2024-09-08 00:00:00,Rejected,Closed as per customer request
80,TKT-000080,Account Issue,Access Rights,System error related to access rights component,2024-03-04 00:00:00,2024-10-01 00:00:00,Rejected,Closed as per customer request
81,TKT-000081,Integration,API Error,Unable to access api error features properly,2025-01-24 00:00:00,2025-05-26 00:00:00,Processing,Additional information required
82,TKT-000082,Feature Request,API,System error related to api component,2025-07-05 00:00:00,2025-09-12 00:00:00,Raised,Duplicate ticket
83,TKT-000083,Bug Report,Performance Bug,System error related to performance bug component,2025-05-12 00:00:00,2025-05-15 00:00:00,Rejected,Additional information required
84,TKT-000084,Payment Issue,Transaction Failed,System error related to transaction failed component,2024-05-10 00:00:00,2025-03-24 00:00:00,Processing,Closed as per customer request
85,TKT-000085,Integration,API Error,Issue with api error requiring immediate attention,2025-03-14 00:00:00,2025-04-17 00:00:00,Rejected,Escalated to technical team
86,TKT-000086,Technical Support,Network,System error related to network component,2024-12-01 00:00:00,2025-03-19 00:00:00,Rejected,Additional information required
87,TKT-000087,Account Issue,Access Rights,Request for access rights support and guidance,2025-03-07 00:00:00,2025-05-10 00:00:00,Processing,Duplicate ticket
88,TKT-000088,Technical Support,Hardware,Request for hardware support and guidance,2024-08-17 00:00:00,2025-07-15 00:00:00,Processing,In progress
89,TKT-000089,Technical Support,Software,Customer reported problem with software functionality,2024-01-21 00:00:00,2024-06-25 00:00:00,Raised,Escalated to technical team
90,TKT-000090,Security,Unauthorized Access,Unable to access unauthorized access features properly,2024-08-11 00:00:00,2025-04-06 00:00:00,Resolved,Additional information required
91,TKT-000091,General Inquiry,Product Info,Customer reported problem with product info functionality,2024-11-14 00:00:00,2025-01-08 00:00:00,Processing,Pending review
92,TKT-000092,Integration,Webhook,System error related to webhook component,2024-07-22 00:00:00,2024-08-29 00:00:00,Raised,Awaiting customer response
93,TKT-000093,Feature Request,New Feature,Unable to access new feature features properly,2024-02-12 00:00:00,2025-02-01 00:00:00,Rejected,Additional information required
94,TKT-000094,Billing,Refund Request,Issue with refund request requiring immediate attention,2025-03-06 00:00:00,2025-07-09 00:00:00,Processing,Closed as per customer request
95,TKT-000095,Account Issue,Access Rights,Customer reported problem with access rights functionality,2025-03-21 00:00:00,2025-05-05 00:00:00,Resolved,Invalid request
96,TKT-000096,Security,Compliance,System error related to compliance component,2025-08-29 00:00:00,2025-09-02 00:00:00,Resolved,Resolved successfully
97,TKT-000097,Billing,Refund Request,System error related to refund request component,2024-09-06 00:00:00,2025-05-01 00:00:00,Rejected,Additional information required
98,TKT-000098,Technical Support,Configuration,Request for configuration support and guidance,2024-07-05 00:00:00,2025-03-11 00:00:00,Raised,Additional information required
99,TKT-000099,Feature Request,Integration,Request for integration support and guidance,2025-09-02 00:00:00,2025-09-06 00:00:00,Processing,Invalid request
100,TKT-000100,Bug Report,UI Bug,Customer reported problem with ui bug functionality,2025-02-20 00:00:00,2025-06-25 00:00:00,Raised,Duplicate ticket
101,TKT-000101,Security,Compliance,Issue with compliance requiring immediate attention,2024-04-05 00:00:00,2025-01-31 00:00:00,Raised,Closed as per customer request
102,TKT-000102,Bug Report,Performance Bug,Unable to access performance bug features properly,2025-01-12 00:00:00,2025-05-13 00:00:00,Resolved,Closed as per customer request
103,TKT-000103,Performance,High CPU,Request for high cpu support and guidance,2025-04-09 00:00:00,2025-06-17 00:00:00,Resolved,Pending review
104,TKT-000104,Bug Report,UI Bug,Customer reported problem with ui bug functionality,2024-11-19 00:00:00,2025-01-19 00:00:00,Raised,Resolved successfully
105,TKT-000105,Bug Report,Security Bug,Request for security bug support and guidance,2025-08-26 00:00:00,2025-09-11 00:00:00,Resolved,Awaiting customer response
106,TKT-000106,Bug Report,Performance Bug,Customer reported problem with performance bug functionality,2025-01-04 00:00:00,2025-02-18 00:00:00,Resolved,In progress
107,TKT-000107,Performance,Timeout,Request for timeout support and guidance,2024-02-16 00:00:00,2024-04-11 00:00:00,Resolved,Escalated to technical team
108,TKT-000108,Security,Unauthorized Access,Issue with unauthorized access requiring immediate attention,2025-08-10 00:00:00,2025-08-28 00:00:00,Rejected,Duplicate ticket
109,TKT-000109,Security,Suspicious Activity,Customer reported problem with suspicious activity functionality,2024-02-22 00:00:00,2024-11-06 00:00:00,Rejected,Awaiting customer response
110,TKT-000110,Billing,Pricing Query,System error related to pricing query component,2024-03-16 00:00:00,2024-05-09 00:00:00,Raised,Escalated to technical team
111,TKT-000111,Integration,Data Sync,Issue with data sync requiring immediate attention,2024-09-11 00:00:00,2024-11-10 00:00:00,Rejected,Resolved successfully
112,TKT-000112,Performance,Memory Issue,System error related to memory issue component,2025-03-29 00:00:00,2025-06-13 00:00:00,Rejected,Pending review
113,TKT-000113,Integration,API Error,Unable to access api error features properly,2024-04-11 00:00:00,2024-11-09 00:00:00,Raised,Pending review
114,TKT-000114,Billing,Payment Failed,Customer reported problem with payment failed functionality,2024-06-26 00:00:00,2025-04-04 00:00:00,Processing,Escalated to technical team
115,TKT-000115,Technical Support,Configuration,System error related to configuration component,2025-08-31 00:00:00,2025-09-07 00:00:00,Resolved,In progress
116,TKT-000116,Bug Report,Performance Bug,Request for performance bug support and guidance,2025-04-09 00:00:00,2025-04-27 00:00:00,Raised,Pending review
117,TKT-000117,Integration,Third Party,System error related to third party component,2024-04-27 00:00:00,2025-01-30 00:00:00,Raised,Escalated to technical team
118,TKT-000118,Feature Request,Enhancement,Issue with enhancement requiring immediate attention,2024-03-02 00:00:00,2024-08-18 00:00:00,Resolved,Pending review
119,TKT-000119,Security,Unauthorized Access,System error related to unauthorized access component,2024-11-07 00:00:00,2025-06-01 00:00:00,Resolved,Invalid request
120,TKT-000120,Performance,Memory Issue,System error related to memory issue component,2024-03-23 00:00:00,2024-05-02 00:00:00,Rejected,Additional information required
121,TKT-000121,Integration,Data Sync,Issue with data sync requiring immediate attention,2024-04-03 00:00:00,2024-11-23 00:00:00,Processing,Pending review
122,TKT-000122,Integration,API Error,Customer reported problem with api error functionality,2025-04-26 00:00:00,2025-09-05 00:00:00,Rejected,Pending review
123,TKT-000123,General Inquiry,Training,System error related to training component,2024-04-03 00:00:00,2025-07-28 00:00:00,Resolved,Closed as per customer request
124,TKT-000124,Account Issue,Profile Update,Issue with profile update requiring immediate attention,2024-06-13 00:00:00,2024-11-28 00:00:00,Rejected,Duplicate ticket
125,TKT-000125,Feature Request,API,Unable to access api features properly,2024-02-07 00:00:00,2025-05-17 00:00:00,Processing,Additional information required
126,TKT-000126,Feature Request,Integration,Issue with integration requiring immediate attention,2025-02-17 00:00:00,2025-06-28 00:00:00,Processing,Invalid request
127,TKT-000127,Security,Compliance,Issue with compliance requiring immediate attention,2024-07-11 00:00:00,2025-04-02 00:00:00,Resolved,Duplicate ticket
128,TKT-000128,Security,Unauthorized Access,Customer reported problem with unauthorized access functionality,2024-09-30 00:00:00,2025-07-08 00:00:00,Raised,Pending review
129,TKT-000129,Security,Compliance,Issue with compliance requiring immediate attention,2024-01-30 00:00:00,2024-10-01 00:00:00,Raised,Pending review
130,TKT-000130,Performance,Slow Response,Unable to access slow response features properly,2025-02-21 00:00:00,2025-03-16 00:00:00,Raised,Awaiting customer response
131,TKT-000131,Security,Unauthorized Access,Customer reported problem with unauthorized access functionality,2025-05-25 00:00:00,2025-08-24 00:00:00,Resolved,Invalid request
132,TKT-000132,Feature Request,API,System error related to api component,2025-04-28 00:00:00,2025-06-29 00:00:00,Rejected,Invalid request
133,TKT-000133,General Inquiry,Training,Customer reported problem with training functionality,2025-09-05 00:00:00,2025-09-07 00:00:00,Processing,Pending review
134,TKT-000134,Payment Issue,Duplicate Charge,Unable to access duplicate charge features properly,2024-09-30 00:00:00,2024-10-01 00:00:00,Resolved,Pending review
135,TKT-000135,Integration,Webhook,Customer reported problem with webhook functionality,2025-04-02 00:00:00,2025-08-17 00:00:00,Rejected,Additional information required
136,TKT-000136,Account Issue,Access Rights,System error related to access rights component,2024-11-25 00:00:00,2025-03-01 00:00:00,Raised,Closed as per customer request
137,TKT-000137,Bug Report,Security Bug,Issue with security bug requiring immediate attention,2024-11-21 00:00:00,2025-07-21 00:00:00,Rejected,Closed as per customer request
138,TKT-000138,General Inquiry,Training,Issue with training requiring immediate attention,2024-05-09 00:00:00,2025-01-21 00:00:00,Resolved,Awaiting customer response
139,TKT-000139,Security,Unauthorized Access,Unable to access unauthorized access features properly,2025-04-12 00:00:00,2025-04-15 00:00:00,Raised,Closed as per customer request
140,TKT-000140,General Inquiry,Product Info,System error related to product info component,2024-09-28 00:00:00,2025-03-20 00:00:00,Rejected,Awaiting customer response
141,TKT-000141,Account Issue,Access Rights,Request for access rights support and guidance,2025-05-14 00:00:00,2025-09-02 00:00:00,Processing,Awaiting customer response
142,TKT-000142,Bug Report,Performance Bug,Customer reported problem with performance bug functionality,2024-04-02 00:00:00,2025-06-20 00:00:00,Processing,Awaiting customer response
143,TKT-000143,Security,Data Breach,Request for data breach support and guidance,2024-01-30 00:00:00,2024-03-17 00:00:00,Resolved,In progress
144,TKT-000144,Feature Request,Integration,Request for integration support and guidance,2025-03-17 00:00:00,2025-04-23 00:00:00,Raised,Invalid request
145,TKT-000145,Payment Issue,Transaction Failed,Customer reported problem with transaction failed functionality,2024-06-28 00:00:00,2024-08-07 00:00:00,Rejected,Resolved successfully
146,TKT-000146,Security,Data Breach,Customer reported problem with data breach functionality,2025-04-17 00:00:00,2025-06-21 00:00:00,Rejected,Pending review
147,TKT-000147,Technical Support,Configuration,Request for configuration support and guidance,2025-07-13 00:00:00,2025-07-23 00:00:00,Processing,Duplicate ticket
148,TKT-000148,Account Issue,Profile Update,System error related to profile update component,2024-09-13 00:00:00,2025-05-04 00:00:00,Resolved,Resolved successfully
149,TKT-000149,Payment Issue,Currency Issue,Issue with currency issue requiring immediate attention,2024-08-30 00:00:00,2025-03-13 00:00:00,Resolved,Pending review
150,TKT-000150,Feature Request,New Feature,System error related to new feature component,2024-10-08 00:00:00,2024-10-12 00:00:00,Processing,Duplicate ticket
151,TKT-000151,Feature Request,Enhancement,Unable to access enhancement features properly,2024-12-26 00:00:00,2025-04-17 00:00:00,Raised,Pending review
152,TKT-000152,General Inquiry,Product Info,Issue with product info requiring immediate attention,2024-11-12 00:00:00,2025-06-25 00:00:00,Processing,Additional information required
153,TKT-000153,General Inquiry,Product Info,Request for product info support and guidance,2024-11-30 00:00:00,2025-06-30 00:00:00,Raised,Resolved successfully
154,TKT-000154,General Inquiry,Documentation,Unable to access documentation features properly,2025-05-28 00:00:00,2025-07-01 00:00:00,Raised,Pending review
155,TKT-000155,Security,Suspicious Activity,Request for suspicious activity support and guidance,2024-04-27 00:00:00,2024-12-22 00:00:00,Processing,Escalated to technical team
156,TKT-000156,Bug Report,Security Bug,Unable to access security bug features properly,2025-01-09 00:00:00,2025-02-01 00:00:00,Rejected,In progress
157,TKT-000157,Feature Request,New Feature,System error related to new feature component,2025-01-12 00:00:00,2025-07-03 00:00:00,Resolved,Closed as per customer request
158,TKT-000158,Account Issue,Login Problem,Customer reported problem with login problem functionality,2025-04-27 00:00:00,2025-05-03 00:00:00,Resolved,Resolved successfully
159,TKT-000159,Billing,Pricing Query,Request for pricing query support and guidance,2025-02-22 00:00:00,2025-03-23 00:00:00,Raised,In progress
160,TKT-000160,Technical Support,Network,System error related to network component,2024-04-28 00:00:00,2024-06-16 00:00:00,Raised,Invalid request
161,TKT-000161,General Inquiry,Training,System error related to training component,2025-01-14 00:00:00,2025-07-04 00:00:00,Rejected,Escalated to technical team
162,TKT-000162,Payment Issue,Card Declined,System error related to card declined component,2025-02-21 00:00:00,2025-05-03 00:00:00,Processing,Additional information required
163,TKT-000163,Bug Report,Security Bug,System error related to security bug component,2024-08-29 00:00:00,2025-03-02 00:00:00,Processing,Additional information required
164,TKT-000164,Performance,High CPU,Issue with high cpu requiring immediate attention,2025-02-11 00:00:00,2025-04-22 00:00:00,Raised,Awaiting customer response
165,TKT-000165,Security,Unauthorized Access,Customer reported problem with unauthorized access functionality,2025-09-03 00:00:00,2025-09-03 00:00:00,Processing,Additional information required
166,TKT-000166,Bug Report,Functional Bug,Unable to access functional bug features properly,2024-07-29 00:00:00,2024-09-02 00:00:00,Raised,Resolved successfully
167,TKT-000167,Bug Report,Performance Bug,Customer reported problem with performance bug functionality,2025-09-02 00:00:00,2025-09-02 00:00:00,Resolved,Escalated to technical team
168,TKT-000168,General Inquiry,Documentation,Customer reported problem with documentation functionality,2024-04-22 00:00:00,2025-03-26 00:00:00,Processing,Escalated to technical team
169,TKT-000169,Technical Support,Network,Customer reported problem with network functionality,2025-08-25 00:00:00,2025-09-04 00:00:00,Processing,Escalated to technical team
170,TKT-000170,Feature Request,New Feature,Customer reported problem with new feature functionality,2025-03-07 00:00:00,2025-07-19 00:00:00,Processing,Awaiting customer response
171,TKT-000171,Security,Compliance,Request for compliance support and guidance,2025-06-09 00:00:00,2025-08-23 00:00:00,Processing,Duplicate ticket
172,TKT-000172,Performance,Timeout,Unable to access timeout features properly,2024-02-14 00:00:00,2025-07-31 00:00:00,Resolved,Duplicate ticket
173,TKT-000173,Technical Support,Hardware,System error related to hardware component,2025-02-15 00:00:00,2025-06-04 00:00:00,Processing,Duplicate ticket
174,TKT-000174,Security,Unauthorized Access,Issue with unauthorized access requiring immediate attention,2024-11-25 00:00:00,2025-02-08 00:00:00,Processing,Escalated to technical team
175,TKT-000175,Feature Request,Integration,System error related to integration component,2025-09-03 00:00:00,2025-09-11 00:00:00,Resolved,Duplicate ticket
176,TKT-000176,Performance,Memory Issue,Issue with memory issue requiring immediate attention,2024-04-27 00:00:00,2025-07-07 00:00:00,Raised,Closed as per customer request
177,TKT-000177,Security,Data Breach,System error related to data breach component,2024-12-13 00:00:00,2025-08-02 00:00:00,Rejected,Closed as per customer request
178,TKT-000178,Billing,Refund Request,System error related to refund request component,2024-11-16 00:00:00,2025-03-26 00:00:00,Resolved,Escalated to technical team
179,TKT-000179,Security,Unauthorized Access,Issue with unauthorized access requiring immediate attention,2024-03-28 00:00:00,2024-07-01 00:00:00,Rejected,Awaiting customer response
180,TKT-000180,Account Issue,Password Reset,Unable to access password reset features properly,2024-03-02 00:00:00,2025-02-02 00:00:00,Processing,Closed as per customer request
181,TKT-000181,Account Issue,Access Rights,Issue with access rights requiring immediate attention,2024-10-21 00:00:00,2025-08-24 00:00:00,Resolved,Additional information required
182,TKT-000182,Billing,Payment Failed,Customer reported problem with payment failed functionality,2025-05-08 00:00:00,2025-07-04 00:00:00,Processing,Additional information required
183,TKT-000183,Performance,High CPU,Issue with high cpu requiring immediate attention,2024-10-12 00:00:00,2025-08-01 00:00:00,Raised,Closed as per customer request
184,TKT-000184,Performance,Slow Response,Unable to access slow response features properly,2024-09-30 00:00:00,2024-10-14 00:00:00,Raised,Pending review
185,TKT-000185,Feature Request,Integration,Request for integration support and guidance,2024-01-07 00:00:00,2024-07-10 00:00:00,Raised,Closed as per customer request
186,TKT-000186,Billing,Payment Failed,Issue with payment failed requiring immediate attention,2024-04-03 00:00:00,2024-11-09 00:00:00,Rejected,Closed as per customer request
187,TKT-000187,Security,Suspicious Activity,Customer reported problem with suspicious activity functionality,2025-01-13 00:00:00,2025-04-02 00:00:00,Resolved,Awaiting customer response
188,TKT-000188,Technical Support,Software,Customer reported problem with software functionality,2024-02-20 00:00:00,2024-05-13 00:00:00,Resolved,Duplicate ticket
189,TKT-000189,Payment Issue,Currency Issue,Unable to access currency issue features properly,2025-03-28 00:00:00,2025-07-12 00:00:00,Resolved,Resolved successfully
190,TKT-000190,Performance,Slow Response,Request for slow response support and guidance,2025-03-16 00:00:00,2025-04-13 00:00:00,Resolved,Duplicate ticket
191,TKT-000191,Performance,High CPU,Issue with high cpu requiring immediate attention,2024-08-13 00:00:00,2025-03-03 00:00:00,Processing,In progress
192,TKT-000192,Bug Report,Performance Bug,Customer reported problem with performance bug functionality,2024-05-20 00:00:00,2025-06-15 00:00:00,Resolved,Pending review
193,TKT-000193,Account Issue,Login Problem,Issue with login problem requiring immediate attention,2025-05-24 00:00:00,2025-08-27 00:00:00,Rejected,Escalated to technical team
194,TKT-000194,General Inquiry,Training,Unable to access training features properly,2024-08-23 00:00:00,2025-05-06 00:00:00,Resolved,Awaiting customer response
195,TKT-000195,Payment Issue,Card Declined,System error related to card declined component,2024-01-20 00:00:00,2025-05-04 00:00:00,Processing,Additional information required
196,TKT-000196,Integration,Webhook,Unable to access webhook features properly,2025-02-18 00:00:00,2025-08-18 00:00:00,Rejected,Pending review
197,TKT-000197,Billing,Pricing Query,Issue with pricing query requiring immediate attention,2024-11-28 00:00:00,2025-02-23 00:00:00,Rejected,Additional information required
